,Algorithms,Total Instances,num_classes,Training #,Testing #,accuracy,kappa,ch_accuracy,ch_kappa,points_flipped,ave_ch_confi,max_ch_confi
0,FFNN,1000,2,693,231,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,Logistic Regression,1000,2,693,231,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,FFNN,1000,4,669,223,0.987,0.982,0.0,0.0,0.0,0.008,0.025
3,Logistic Regression,1000,4,669,223,0.987,0.982,0.0,0.0,0.0,0.002,0.008
4,FFNN,1000,8,648,216,0.931,0.921,0.015,0.018,0.015,0.049,0.087
5,Logistic Regression,1000,8,648,216,0.727,0.688,0.001,0.001,0.001,0.003,0.004
6,FFNN,1000,16,576,192,0.635,0.611,0.003,0.003,0.003,0.025,0.051
7,Logistic Regression,1000,16,576,192,0.438,0.4,0.0,0.0,0.002,0.006,0.014
8,FFNN,1000,32,480,160,0.225,0.2,0.006,0.006,0.019,0.013,0.035
9,Logistic Regression,1000,32,480,160,0.3,0.277,0.005,0.005,0.018,0.023,0.074
10,FFNN,1000,64,384,128,0.094,0.079,0.001,0.001,0.048,0.004,0.009
11,Logistic Regression,1000,64,384,128,0.125,0.111,0.002,0.002,0.024,0.015,0.064
12,FFNN,2000,2,1396,466,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13,Logistic Regression,2000,2,1396,466,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14,FFNN,2000,4,1320,440,1.0,1.0,0.0,0.0,0.0,0.008,0.026
15,Logistic Regression,2000,4,1320,440,0.798,0.73,0.0,0.0,0.0,0.0,0.0
16,FFNN,2000,8,1278,426,1.0,1.0,0.0,0.0,0.0,0.007,0.017
17,Logistic Regression,2000,8,1278,426,0.838,0.815,0.001,0.001,0.001,0.002,0.004
18,FFNN,2000,16,1164,388,0.869,0.86,0.019,0.02,0.062,0.056,0.099
19,Logistic Regression,2000,16,1164,388,0.441,0.404,0.0,0.0,0.0,0.003,0.005
20,FFNN,2000,32,1008,336,0.312,0.29,0.001,0.001,0.01,0.01,0.017
21,Logistic Regression,2000,32,1008,336,0.262,0.238,0.003,0.004,0.009,0.01,0.035
22,FFNN,2000,64,912,304,0.155,0.141,0.003,0.004,0.044,0.01,0.026
23,Logistic Regression,2000,64,912,304,0.158,0.145,0.001,0.001,0.01,0.008,0.033
24,FFNN,3000,2,2049,683,1.0,1.0,0.0,0.0,0.0,0.0,0.0
25,Logistic Regression,3000,2,2049,683,1.0,1.0,0.0,0.0,0.0,0.0,0.0
26,FFNN,3000,4,1983,661,1.0,1.0,0.0,0.0,0.0,0.0,0.001
27,Logistic Regression,3000,4,1983,661,1.0,1.0,0.0,0.0,0.0,0.0,0.001
28,FFNN,3000,8,1884,628,1.0,1.0,0.0,0.0,0.0,0.003,0.008
29,Logistic Regression,3000,8,1884,628,0.994,0.993,0.0,0.0,0.0,0.002,0.003
30,FFNN,3000,16,1860,620,0.968,0.966,0.003,0.004,0.004,0.029,0.083
31,Logistic Regression,3000,16,1860,620,0.465,0.429,0.0,0.0,0.0,0.002,0.003
32,FFNN,3000,32,1752,584,0.418,0.399,0.001,0.001,0.007,0.012,0.023
33,Logistic Regression,3000,32,1752,584,0.3,0.277,0.0,0.0,0.001,0.002,0.006
34,FFNN,3000,64,1536,512,0.193,0.181,0.001,0.001,0.011,0.008,0.019
35,Logistic Regression,3000,64,1536,512,0.191,0.179,0.002,0.002,0.01,0.006,0.017
36,FFNN,4000,2,2754,918,1.0,1.0,0.0,0.0,0.0,0.0,0.0
37,Logistic Regression,4000,2,2754,918,1.0,1.0,0.0,0.0,0.0,0.0,0.0
38,FFNN,4000,4,2640,880,1.0,1.0,0.0,0.0,0.0,0.001,0.003
39,Logistic Regression,4000,4,2640,880,0.994,0.992,0.0,0.0,0.0,0.0,0.001
40,FFNN,4000,8,2532,844,1.0,1.0,0.0,0.0,0.0,0.011,0.026
41,Logistic Regression,4000,8,2532,844,0.801,0.773,0.0,0.0,0.0,0.001,0.001
42,FFNN,4000,16,2520,840,0.888,0.881,0.008,0.008,0.012,0.046,0.087
43,Logistic Regression,4000,16,2520,840,0.5,0.467,0.0,0.0,0.0,0.001,0.002
44,FFNN,4000,32,2280,760,0.484,0.468,0.008,0.008,0.021,0.031,0.064
45,Logistic Regression,4000,32,2280,760,0.251,0.227,0.0,0.0,0.001,0.002,0.005
46,FFNN,4000,64,1968,656,0.198,0.185,0.001,0.001,0.022,0.011,0.021
47,Logistic Regression,4000,64,1968,656,0.181,0.168,0.001,0.001,0.007,0.005,0.017
48,FFNN,5000,2,3483,1161,1.0,1.0,0.0,0.0,0.0,0.0,0.0
49,Logistic Regression,5000,2,3483,1161,1.0,1.0,0.0,0.0,0.0,0.0,0.0
50,FFNN,5000,4,3414,1138,1.0,1.0,0.0,0.0,0.0,0.001,0.002
51,Logistic Regression,5000,4,3414,1138,0.999,0.999,0.0,0.0,0.0,0.037,0.439
52,FFNN,5000,8,3252,1084,1.0,1.0,0.0,0.0,0.0,0.005,0.01
53,Logistic Regression,5000,8,3252,1084,0.931,0.921,0.0,0.0,0.0,0.001,0.001
54,FFNN,5000,16,3156,1052,0.977,0.976,0.001,0.001,0.001,0.027,0.065
55,Logistic Regression,5000,16,3156,1052,0.565,0.535,0.0,0.0,0.0,0.001,0.002
56,FFNN,5000,32,3000,1000,0.602,0.589,0.009,0.009,0.031,0.032,0.065
57,Logistic Regression,5000,32,3000,1000,0.256,0.232,0.0,0.0,0.001,0.002,0.004
58,FFNN,5000,64,2736,912,0.224,0.211,0.002,0.002,0.024,0.014,0.027
59,Logistic Regression,5000,64,2736,912,0.217,0.205,0.0,0.0,0.006,0.003,0.012
60,FFNN,6000,2,4171,1391,1.0,1.0,0.0,0.0,0.0,0.0,0.0
61,Logistic Regression,6000,2,4171,1391,1.0,1.0,0.0,0.0,0.0,0.0,0.0
62,FFNN,6000,4,4119,1373,1.0,1.0,0.0,0.0,0.0,0.0,0.001
63,Logistic Regression,6000,4,4119,1373,1.0,1.0,0.0,0.0,0.0,0.0,0.0
64,FFNN,6000,8,3948,1316,1.0,1.0,0.0,0.0,0.0,0.001,0.002
65,Logistic Regression,6000,8,3948,1316,0.875,0.857,0.0,0.0,0.0,0.0,0.0
66,FFNN,6000,16,3948,1316,0.941,0.938,0.003,0.004,0.009,0.05,0.102
67,Logistic Regression,6000,16,3948,1316,0.502,0.468,0.0,0.0,0.0,0.001,0.001
68,FFNN,6000,32,3720,1240,0.668,0.657,0.01,0.01,0.038,0.04,0.068
69,Logistic Regression,6000,32,3720,1240,0.216,0.191,0.0,0.0,0.0,0.002,0.004
70,FFNN,6000,64,3456,1152,0.251,0.239,0.001,0.001,0.019,0.011,0.021
71,Logistic Regression,6000,64,3456,1152,0.23,0.218,0.001,0.001,0.004,0.003,0.008
72,FFNN,7000,2,4933,1645,1.0,1.0,0.0,0.0,0.0,0.0,0.0
73,Logistic Regression,7000,2,4933,1645,1.0,1.0,0.0,0.0,0.0,0.0,0.0
74,FFNN,7000,4,4806,1602,1.0,1.0,0.0,0.0,0.0,0.001,0.001
75,Logistic Regression,7000,4,4806,1602,0.999,0.998,0.0,0.0,0.0,0.0,0.003
76,FFNN,7000,8,4758,1586,1.0,1.0,0.0,0.0,0.0,0.003,0.005
77,Logistic Regression,7000,8,4758,1586,0.85,0.829,0.0,0.0,0.0,0.0,0.001
78,FFNN,7000,16,4668,1556,0.922,0.917,0.0,0.0,0.001,0.031,0.094
79,Logistic Regression,7000,16,4668,1556,0.403,0.363,0.0,0.0,0.0,0.001,0.001
80,FFNN,7000,32,4320,1440,0.738,0.729,0.005,0.005,0.015,0.033,0.059
81,Logistic Regression,7000,32,4320,1440,0.301,0.278,0.0,0.0,0.001,0.001,0.003
82,FFNN,7000,64,4032,1344,0.29,0.279,0.002,0.002,0.021,0.014,0.024
83,Logistic Regression,7000,64,4032,1344,0.212,0.2,0.001,0.001,0.004,0.002,0.007
84,FFNN,8000,2,5665,1889,1.0,1.0,0.0,0.0,0.0,0.0,0.0
85,Logistic Regression,8000,2,5665,1889,1.0,1.0,0.0,0.0,0.0,0.0,0.0
86,FFNN,8000,4,5541,1847,1.0,1.0,0.0,0.0,0.0,0.0,0.001
87,Logistic Regression,8000,4,5541,1847,1.0,1.0,0.0,0.0,0.0,0.0,0.0
88,FFNN,8000,8,5532,1844,1.0,1.0,0.0,0.0,0.0,0.008,0.013
89,Logistic Regression,8000,8,5532,1844,0.744,0.707,0.0,0.0,0.0,0.0,0.001
90,FFNN,8000,16,5496,1832,0.983,0.982,0.001,0.001,0.001,0.032,0.063
91,Logistic Regression,8000,16,5496,1832,0.462,0.426,0.0,0.0,0.0,0.001,0.001
92,FFNN,8000,32,5136,1712,0.774,0.767,0.002,0.002,0.015,0.044,0.091
93,Logistic Regression,8000,32,5136,1712,0.263,0.24,0.0,0.0,0.001,0.001,0.003
94,FFNN,8000,64,4704,1568,0.334,0.324,0.001,0.001,0.02,0.014,0.03
95,Logistic Regression,8000,64,4704,1568,0.238,0.226,0.0,0.0,0.004,0.002,0.007
96,FFNN,9000,2,6384,2128,1.0,1.0,0.0,0.0,0.0,0.0,0.0
97,Logistic Regression,9000,2,6384,2128,1.0,1.0,0.0,0.0,0.0,0.0,0.0
98,FFNN,9000,4,6267,2089,1.0,1.0,0.0,0.0,0.0,0.001,0.001
99,Logistic Regression,9000,4,6267,2089,1.0,1.0,0.0,0.0,0.0,0.0,0.001
100,FFNN,9000,8,6252,2084,1.0,1.0,0.0,0.0,0.0,0.001,0.002
101,Logistic Regression,9000,8,6252,2084,0.875,0.857,0.0,0.0,0.0,0.0,0.0
102,FFNN,9000,16,6072,2024,0.994,0.994,0.001,0.001,0.001,0.047,0.087
103,Logistic Regression,9000,16,6072,2024,0.437,0.4,0.0,0.0,0.0,0.0,0.001
104,FFNN,9000,32,5328,1776,0.822,0.816,0.006,0.006,0.01,0.053,0.097
105,Logistic Regression,9000,32,5328,1776,0.267,0.243,0.0,0.0,0.001,0.001,0.003
106,FFNN,9000,64,4800,1600,0.295,0.284,0.001,0.002,0.03,0.019,0.041
107,Logistic Regression,9000,64,4800,1600,0.228,0.215,0.001,0.001,0.004,0.002,0.009
108,FFNN,10000,2,7071,2357,1.0,1.0,0.0,0.0,0.0,0.0,0.0
109,Logistic Regression,10000,2,7071,2357,1.0,1.0,0.0,0.0,0.0,0.0,0.0
110,FFNN,10000,4,6924,2308,1.0,1.0,0.0,0.0,0.0,0.0,0.001
111,Logistic Regression,10000,4,6924,2308,1.0,1.0,0.0,0.0,0.0,0.0,0.0
112,FFNN,10000,8,6894,2298,1.0,1.0,0.0,0.0,0.0,0.003,0.015
113,Logistic Regression,10000,8,6894,2298,0.763,0.729,0.0,0.0,0.0,0.0,0.0
114,FFNN,10000,16,6780,2260,0.977,0.975,0.001,0.001,0.002,0.034,0.076
115,Logistic Regression,10000,16,6780,2260,0.625,0.6,0.0,0.0,0.0,0.0,0.001
116,FFNN,10000,32,6240,2080,0.825,0.819,0.001,0.001,0.003,0.036,0.087
117,Logistic Regression,10000,32,6240,2080,0.21,0.184,0.0,0.0,0.0,0.001,0.002
118,FFNN,10000,64,5664,1888,0.423,0.414,0.006,0.006,0.044,0.033,0.053
119,Logistic Regression,10000,64,5664,1888,0.199,0.186,0.0,0.0,0.002,0.002,0.006
