,Algorithms,Total Instances,num_classes,Training #,Testing #,accuracy,kappa,ch_accuracy,ch_kappa,points_flipped,ave_ch_confi,max_ch_confi
0,FFNN,1000,2,693,231,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,Logistic Regression,1000,2,693,231,1.0,1.0,0.0,0.0,0.0,0.0,0.002
2,FFNN,1000,4,669,223,1.0,1.0,0.0,0.0,0.0,0.009,0.021
3,Logistic Regression,1000,4,669,223,0.919,0.892,0.0,0.0,0.0,0.002,0.005
4,FFNN,1000,8,648,216,0.981,0.979,0.003,0.003,0.003,0.043,0.095
5,Logistic Regression,1000,8,648,216,0.736,0.698,0.0,0.0,0.0,0.002,0.004
6,FFNN,1000,16,576,192,0.771,0.756,0.008,0.008,0.017,0.027,0.048
7,Logistic Regression,1000,16,576,192,0.438,0.4,0.0,0.0,0.001,0.006,0.014
8,FFNN,1000,32,480,160,0.319,0.297,0.005,0.005,0.008,0.014,0.03
9,Logistic Regression,1000,32,480,160,0.306,0.284,0.006,0.007,0.019,0.024,0.072
10,FFNN,1000,64,384,128,0.094,0.079,0.001,0.001,0.028,0.009,0.02
11,Logistic Regression,1000,64,384,128,0.086,0.071,0.003,0.003,0.022,0.014,0.067
12,FFNN,2000,2,1396,466,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13,Logistic Regression,2000,2,1396,466,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14,FFNN,2000,4,1320,440,1.0,1.0,0.0,0.0,0.0,0.001,0.003
15,Logistic Regression,2000,4,1320,440,0.789,0.718,0.001,0.001,0.001,0.0,0.0
16,FFNN,2000,8,1278,426,1.0,1.0,0.0,0.0,0.0,0.01,0.018
17,Logistic Regression,2000,8,1278,426,0.836,0.812,0.0,0.0,0.001,0.002,0.004
18,FFNN,2000,16,1164,388,0.948,0.945,0.006,0.007,0.015,0.05,0.09
19,Logistic Regression,2000,16,1164,388,0.438,0.4,0.0,0.0,0.0,0.003,0.005
20,FFNN,2000,32,1008,336,0.366,0.346,0.003,0.003,0.008,0.01,0.019
21,Logistic Regression,2000,32,1008,336,0.247,0.223,0.003,0.003,0.009,0.01,0.035
22,FFNN,2000,64,912,304,0.197,0.185,0.011,0.011,0.057,0.019,0.039
23,Logistic Regression,2000,64,912,304,0.174,0.161,0.0,0.0,0.012,0.008,0.028
24,FFNN,3000,2,2049,683,1.0,1.0,0.0,0.0,0.0,0.0,0.0
25,Logistic Regression,3000,2,2049,683,1.0,1.0,0.0,0.0,0.0,0.0,0.0
26,FFNN,3000,4,1983,661,1.0,1.0,0.0,0.0,0.0,0.0,0.001
